,Entity,Original_word,Class,Hypernyms,Paragraph Id,File
198,Gut (Wirtschaftswissenschaft),Wirtschaftsgut,Entity,[],para_109,0019421.xml
199,Herausgabeanspruch,Herausgabeanspruch,Entity,['Berechtigung'],para_109,0019421.xml
200,Elternschaft,Elternteil,Entity,"['Lebewesen', 'Verwandter', 'Lebewesen']",para_109,0019421.xml
201,Ständigkeit,bzw,,,para_109,0019421.xml
202,Minderjährigkeit,minderjährigen,,,para_109,0019421.xml
203,Verwaltungsrecht (Deutschland),Verwaltungsrecht,Entity,[],para_109,0019421.xml
204,Gütergemeinschaft (Ehe),Gütergemeinschaft,Entity,['Güterstand'],para_111,0019421.xml
205,Der Betrieb,Betrieb,Entity,[],para_111,0019421.xml
206,Rolle VD,Rolle,Entity,['Aufgabe'],para_111,0019421.xml
207,Gewerbe,gewerblichen,,,para_113,0019421.xml
208,Kapital,Kapital,Entity,[],para_113,0019421.xml
209,Semantik,Bedeutung,Entity,[],para_113,0019421.xml
210,Zitat,vgl,,,para_113,0019421.xml
211,Sozialverhalten,Verhalten,Entity,[],para_116,0019421.xml
212,Freier Wille,Willen,Entity,[],para_116,0019421.xml
213,Objektivität,objektiven,,,para_116,0019421.xml
214,Merkmal,Merkmale,,,para_116,0019421.xml
215,Karl Überla,überlä,,,para_116,0019421.xml
216,Stille Reserven,stillen Reserven,,,para_119,0019421.xml
217,Übereignung,Übertragung,Entity,[],para_120,0019421.xml
218,Australischer Dollar,au,,,para_122,0019421.xml
219,Inventar,Inventar,Entity,[],para_122,0019421.xml
220,Entgelt,unentgeltlich,Entity,[],para_122,0019421.xml
221,Hektar,ha,,,para_124,0019421.xml
222,Gebäude,Gebäude,Entity,[],para_124,0019421.xml
223,Relation,Verhältnis,Entity,[],para_127,0019421.xml
224,Rechtsnachfolge,Nachfolger,Entity,"['Lebewesen', 'Lebewesen']",para_128,0019421.xml
225,Erlass (Verwaltungsrecht),Erlasses,,,para_128,0019421.xml
226,Wahlrecht,Wahlrecht,Entity,['Berechtigung'],para_128,0019421.xml
227,Wahl,wählen,Entity,[],para_128,0019421.xml
228,Verfahrenstechnik,verfahren,Entity,[],para_131,0019421.xml
229,Gewerkschaft,ig,,,para_132,0019421.xml
230,Einkünfte aus Land- und Forstwirtschaft (Deutschland),Einkünfte aus Land- und Forstwirtschaft,,,para_132,0019421.xml
231,Notwendige und hinreichende Bedingung,hinreichend,Entity,[],para_132,0019421.xml
232,Erla (Schwarzenberg),Erla,,,para_135,0019421.xml
233,Totem,totem,,,para_135,0019421.xml
234,Finanzamt,Finanzamt,Entity,['Gebäude'],para_135,0019421.xml
235,Erdoberfläche,Gesamtfläche,Entity,['Fläche'],para_137,0019421.xml
236,Ludwig II. (Hessen),II,,,para_138,0019421.xml
237,Frauenwahlrecht,Wahlrecht,Entity,['Berechtigung'],para_138,0019421.xml
238,Kanton Obwalden,ob,,,para_138,0019421.xml
239,Staatsgebiet,Fläche,Entity,[],para_138,0019421.xml
240,Guillotine,Fall,Entity,[],para_138,0019421.xml
241,Betriebsaufgabe,Betriebsaufgabe,Entity,[],para_138,0019421.xml
242,Ware,Waren,,,para_139,0019421.xml
243,Nebenberuf,Nebenberuf,Entity,[],para_141,0019421.xml
244,Nutzung (Technik),Anwendung,Entity,[],para_145,0019421.xml
245,Organismus,Organismus,Entity,[],para_145,0019421.xml
246,Jennifer Weist,Weist,,,para_150,0019421.xml
247,Bodenschätzung,Bodenschätzung,,,para_150,0019421.xml
248,Ausschlussfrist,Ausschlußfrist,,,para_153,0019421.xml
249,Betriebsfinanzamt,Betriebsfinanzamt,,,para_153,0019421.xml
250,Bebauungsplan (Deutschland),Bebauungsplan,Entity,[],para_153,0019421.xml
251,Gemeinde (Deutschland),Gemeinde,Entity,[],para_153,0019421.xml
252,Teilwert,Teilwert,Entity,[],para_154,0019421.xml
253,Wegerecht (Sachenrecht),Wege,,,para_155,0019421.xml
254,Acker,Ackerland,Entity,"['Fläche', 'Grünland']",para_155,0019421.xml
255,Bauland,Bauland,Entity,[],para_155,0019421.xml
256,Grundsteuer,Grundsteuer,Entity,[],para_155,0019421.xml
257,U'u,u. U,,,para_155,0019421.xml
258,Vermögensteuer,Vermögensteuer,Entity,[],para_155,0019421.xml
259,Erbschaftsteuer,Erbschaftsteuer,Entity,[],para_155,0019421.xml
260,Achtes Buch Sozialgesetzbuch,VIII,,,para_157,0019421.xml
261,Jahresüberschuss,Verluste,,,para_157,0019421.xml
262,Betriebsausgabe,Abzugsverbot,,,para_157,0019421.xml
263,Bildungssystem in Österreich,allgemein,Entity,[],para_165,0019421.xml
264,Anschaffungskosten,Anschaffungskosten,Entity,['Kosten'],para_166,0019421.xml
265,Aktivierung (Rechnungswesen),aktivieren,Entity,[],para_166,0019421.xml
266,Kapitaleinlage,Einlage,Entity,"['Wertgegenstand', 'Wertgegenstand', 'Wertgegenstand', 'Betrag', 'Geldsumme', 'Betrag']",para_166,0019421.xml
267,Spareinlage,Einlagen,,,para_166,0019421.xml
268,Herstellungskosten,Herstellungskosten,Entity,['Kosten'],para_166,0019421.xml
269,Gesetzblatt,in der Fassung,,,para_169,0019421.xml
270,Fließ,Flie,,,para_169,0019421.xml
271,Teilzahlungsgeschäft,Ratenzahlung,Entity,['Zahlung'],para_169,0019421.xml
272,Veräußerungsgewinn,Veräußerungsgewinn,Entity,['Einkünfte'],para_169,0019421.xml
273,Kaufvertrag,Käufer,Entity,"['Lebewesen', 'Lebewesen']",para_170,0019421.xml
274,Senat,Senats,,,para_214,0019421.xml
275,Bundesfinanzhof,BFH,,,para_214,0019421.xml
276,Großer Senat,Große Senat,,,para_214,0019421.xml
277,Regionaler Strukturwandel,Strukturwandel,Entity,[],para_215,0019421.xml
278,Gartenbau,Gärtnerei,Entity,['Gebäude'],para_215,0019421.xml
279,1. Juli,1. Juli,,,para_219,0019421.xml
280,31. Dezember,31. Dezember,,,para_219,0019421.xml
281,Tilgung (Geldverkehr),Tilgung,Entity,['Zahlung'],para_225,0019421.xml
282,Schulden,Schulden,Entity,[],para_225,0019421.xml
283,In einem anderen Land (1957),anderen land,,,para_225,0019421.xml
284,Ayten Erten,erten,,,para_226,0019421.xml
285,Abfindung,Abfindung,Entity,"['Wertgegenstand', 'Wertgegenstand', 'Wertgegenstand', 'Betrag', 'Geldsumme', 'Betrag']",para_227,0019421.xml
286,Erbschaft,Erben,,,para_227,0019421.xml
287,Gesetzliche Erbfolge,gesetzlichen Erbfolge,,,para_227,0019421.xml
288,Erbrecht,erbberechtigt,Entity,[],para_227,0019421.xml
289,Vermächtnis,Vermächtnis,Entity,[],para_227,0019421.xml
290,Erbe,Erben,,,para_227,0019421.xml
291,Steuersubvention,Steuervergünstigung,Entity,['Steuererleichterung'],para_231,0019421.xml
292,Abfindung (Arbeitsrecht Deutschlands),Abfindungen,,,para_232,0019421.xml
293,Betriebsrat,Betriebs,,,para_232,0019421.xml
294,Buchstabe,Buchstabe,Entity,[],para_234,0019421.xml
295,Einkommen,Einkommen,Entity,['Einkünfte'],para_257,0019421.xml
296,Berliner Mauer,Grenze,Entity,[],para_257,0019421.xml
297,Großstadt,grö,,,para_262,0019421.xml
298,Emrah Eren,eren,,,para_262,0019421.xml
299,Ortsteil,Ortsteil,Entity,['Fläche'],para_262,0019421.xml
300,Acht (Eifel),acht,Entity,[],para_262,0019421.xml
301,Oberbürgermeister,ob,,,para_262,0019421.xml
302,Antragsrecht,Antragsrecht,,,para_266,0019421.xml
303,Sekundarstufe II,II,,,para_270,0019421.xml
304,Fragebogen,Fragebogen,Entity,['Formular'],para_270,0019421.xml
305,Evaluation,Auswertung,Entity,[],para_270,0019421.xml
306,Beratung,Berater,Entity,"['Lebewesen', 'Lebewesen']",para_270,0019421.xml
307,Frühkindlicher Reflex,StNr,,,para_270,0019421.xml
308,Varta AG,AfA,,,para_7,0022233.xml
309,Nutzungswert,Nutzungswert,,,para_9,0022233.xml
310,Winzer,Winzer,Entity,"['Lebewesen', 'Lebewesen']",para_13,0022233.xml
311,Carbonsäureester,EStER,,,para_13,0022233.xml
312,Wirtschaftszweig,Betriebszweig,Entity,[],para_13,0022233.xml
313,Fahrgestell,Rahmen,Entity,[],para_13,0022233.xml
314,Weinbau in Deutschland,Weinbau,Entity,[],para_15,0022233.xml
315,Ernte,Ernte,Entity,"['Ertrag', 'Einkünfte']",para_16,0022233.xml
316,Weintraube,Trauben,,,para_16,0022233.xml
317,Maischen,Maische,Entity,[],para_16,0022233.xml
318,Most (Getränk),Most,Entity,[],para_16,0022233.xml
319,Trester (Pressrückstände),Trester,Entity,['Branntwein'],para_16,0022233.xml
320,Branntwein,Branntwein,Entity,[],para_16,0022233.xml
321,Backhefe,Hefe,Entity,[],para_16,0022233.xml
322,Produkt (Wirtschaft),Erzeugnisse,,,para_16,0022233.xml
323,Privathaushalt,private,,,para_16,0022233.xml
324,Lebensstil,Lebensführung,Entity,[],para_16,0022233.xml
325,Aufwand,Aufwendungen,,,para_17,0022233.xml
326,Bauwerk,Bebauung,Entity,[],para_17,0022233.xml
327,Straßen- und Wegebau,Ausbau,Entity,[],para_17,0022233.xml
328,Vertrieb,Vertrieb,Entity,['Gebäude'],para_17,0022233.xml
329,Karl Groß (Künstler),Grö,,,para_21,0022233.xml
330,Orhan Eren,eren,,,para_21,0022233.xml
331,Anlagenbau,Anlagen,,,para_21,0022233.xml
332,Schädlingsbekämpfung,Schädlingsbekämpfung,Entity,[],para_22,0022233.xml
